doc_id,label
0,1
1,5
2,1
3,1
4,3
5,1
6,2
7,1
8,1
9,1
10,3
11,6
12,1
13,6
14,1
15,8
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,8
25,6
26,3
27,6
28,1
29,1
30,1
31,1
32,6
33,1
34,1
35,6
36,1
37,3
38,3
39,6
40,1
41,5
42,1
43,8
44,6
45,1
46,8
47,6
48,1
49,6
50,5
51,1
52,1
53,1
54,1
55,6
56,1
57,8
58,1
59,1
60,1
61,1
62,6
63,1
64,6
65,1
66,6
67,6
68,4
69,6
70,6
71,1
72,1
73,5
74,1
75,2
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,8
88,1
89,6
90,1
91,6
92,8
93,6
94,1
95,3
96,8
97,1
98,8
99,1
100,1
101,6
102,1
103,1
104,6
105,6
106,6
107,1
108,5
109,1
110,1
111,6
112,1
113,8
114,4
115,1
116,1
117,3
118,6
119,8
120,1
121,6
122,6
123,6
124,3
125,1
126,1
127,8
128,1
129,1
130,1
131,1
132,6
133,1
134,1
135,3
136,6
137,8
138,6
139,8
140,6
141,6
142,6
143,6
144,6
145,6
146,1
147,1
148,1
149,3
150,6
151,3
152,6
153,5
154,6
155,1
156,6
157,8
158,6
159,1
160,8
161,1
162,6
163,5
164,1
165,6
166,4
167,3
168,1
169,5
170,4
171,1
172,1
173,1
174,6
175,1
176,1
177,1
178,1
179,5
180,6
181,1
182,1
183,8
184,6
185,4
186,1
187,1
188,6
189,1
190,1
191,1
192,1
193,1
194,5
195,3
196,1
197,6
198,1
199,6
200,6
201,1
202,6
203,1
204,1
205,1
206,1
207,4
208,1
209,1
210,1
211,6
212,1
213,1
214,6
215,1
216,1
217,3
218,1
219,1
220,6
221,6
222,1
223,1
224,1
225,1
226,3
227,1
228,6
229,1
230,1
231,6
232,1
233,6
234,1
235,6
236,6
237,1
238,3
239,1
240,6
241,4
242,6
243,1
244,6
245,1
246,1
247,1
248,4
249,6
250,1
251,3
252,6
253,1
254,6
255,1
256,2
257,6
258,6
259,1
260,6
261,3
262,5
263,1
264,8
265,3
266,2
267,5
268,1
269,3
270,1
271,1
272,1
273,1
274,1
275,1
276,5
277,5
278,1
279,1
280,4
281,6
282,3
283,7
284,7
285,7
286,7
287,7
288,7
289,7
290,7
291,7
292,7
293,7
294,3
295,1
296,1
297,1
298,1
299,1
300,1
301,6
302,1
303,8
304,1
305,8
306,1
307,6
308,1
309,6
310,1
311,6
312,6
313,7
314,6
315,3
316,4
317,6
318,8
319,1
320,6
321,6
322,4
323,6
324,6
325,3
326,1
327,6
328,6
329,6
330,1
331,8
332,6
333,1
334,1
335,1
336,1
337,6
338,6
339,8
340,3
341,8
342,6
343,6
344,6
345,1
346,6
347,6
348,1
349,1
350,2
351,6
352,6
353,0
354,1
355,1
356,6
